,code,name,gender,country_x,discipline,event,age,medal_type,team_code,num_athletes
1169,1550542,PETREANU Victoria Stefania,Female,Romania,Rowing,Womens Eight,21,Gold Medal,ROWWCOXED8--ROU01,9.0
1174,1550560,RADIS Simona,Female,Romania,Rowing,Womens Eight,25,Gold Medal,ROWWCOXED8--ROU01,9.0
1175,1550560,RADIS Simona,Female,Romania,Rowing,Womens Double Sculls,25,Silver Medal,ROWWSCULL2--ROU01,2.0
1176,1550630,RUSU Maria Magdalena,Female,Romania,Rowing,Womens Eight,25,Gold Medal,ROWWCOXED8--ROU01,9.0
1179,1550661,van GRONINGEN Gianina Elena,Female,Romania,Rowing,Lightweight Womens Double Sculls,29,Silver Medal,ROWWSCULL2-LROU01,2.0
1180,1550789,VRINCEANU Ioana,Female,Romania,Rowing,Womens Eight,30,Gold Medal,ROWWCOXED8--ROU01,9.0
1181,1550789,VRINCEANU Ioana,Female,Romania,Rowing,Womens Pair,30,Silver Medal,ROWWNOCOX2--ROU01,2.0
1187,1550975,de GENNARO Giovanni,Male,Italy,Canoe Slalom,Mens Kayak Single,32,Gold Medal,,
1239,1551061,D'AMATO Alice,Female,Italy,Artistic Gymnastics,Womens Balance Beam,21,Gold Medal,,
1243,1551061,D'AMATO Alice,Female,Italy,Artistic Gymnastics,Womens Team,21,Silver Medal,GARWTEAM----ITA01,5.0
1254,1551186,CORNEA Andrei Sebastian,Male,Romania,Rowing,Mens Double Sculls,25,Gold Medal,ROWMSCULL2--ROU01,2.0
1257,1551238,ENACHE Marian Florian,Male,Romania,Rowing,Mens Double Sculls,29,Gold Medal,ROWMSCULL2--ROU01,2.0
1262,1551307,DJURAEV Akbar,Male,Uzbekistan,Weightlifting,Mens 102kg,25,Silver Medal,,
1269,1551387,MONNA Paolo,Male,Italy,Shooting,10m Air Pistol Men,26,Bronze Medal,,
1270,1551388,MALDINI Federico Nilo,Male,Italy,Shooting,10m Air Pistol Men,23,Silver Medal,,
1278,1551443,TALAKHADZE Lasha,Male,Georgia,Weightlifting,Mens +102kg,31,Gold Medal,,
1388,1552370,SULAMANIDZE Ilia,Male,Georgia,Judo,Men -100 kg,23,Silver Medal,,
1392,1552375,DIAZ HERNANDEZ Andy,Male,Italy,Athletics,Mens Triple Jump,29,Bronze Medal,,
1393,1552378,FURLANI Mattia,Male,Italy,Athletics,Mens Long Jump,19,Bronze Medal,,
