,name,gender,country,disciplines,events
4815,KUKHARYK Oleh,Male,Ukraine,Canoe Sprint,Mens Kayak Four 500m
4816,TRUNOV Ihor,Male,Ukraine,Canoe Sprint,Mens Kayak Double 500m
4817,TRUNOV Ihor,Male,Ukraine,Canoe Sprint,Mens Kayak Four 500m
4818,DANYLENKO Dmytro,Male,Ukraine,Canoe Sprint,Mens Kayak Four 500m
4819,SEMYKIN Ivan,Male,Ukraine,Canoe Sprint,Mens Kayak Four 500m
4820,ALTUKHOV Pavlo,Male,Ukraine,Canoe Sprint,Mens Canoe Single 1000m
4821,POVKH Mariya,Female,Ukraine,Canoe Sprint,Womens Kayak Single 500m
4822,EASHASH Zeyad,Male,Jordan,Boxing,Mens 71kg
4823,ALKASBEH Obada,Male,Jordan,Boxing,Mens 63.5kg
4824,IASHAISH Hussein,Male,Jordan,Boxing,Mens 80kg
4825,SEMBERG Abishag,Female,Israel,Taekwondo,Women -49kg
4826,SAGIV Shachar,Male,Israel,Triathlon,Mens Individual
4827,ZAYED Ebtissam,Female,Egypt,Cycling Track,Womens Omnium
4828,DUDCHENKO Kateryna,Female,Ukraine,Rowing,Womens Quadruple Sculls
4829,VERKHOGLIAD Daryna,Female,Ukraine,Rowing,Womens Quadruple Sculls
4830,DOVHODKO Yevheniia,Female,Ukraine,Rowing,Womens Quadruple Sculls
4831,KOZHENKOVA Anastasiia,Female,Ukraine,Rowing,Womens Quadruple Sculls
4832,KOVALOV Stanislav,Male,Ukraine,Rowing,Lightweight Mens Double Sculls
4833,KHMARA Igor,Male,Ukraine,Rowing,Lightweight Mens Double Sculls
4834,RODITI Matan,Male,Israel,Marathon Swimming,Mens 10km
4835,ABOUELHASSAN Youssef,Male,Egypt,Cycling Track,Mens Omnium
4836,NASSEE Ariel,Female,Israel,Artistic Swimming,Duet
4837,BOBRITSKY Shelly,Female,Israel,Artistic Swimming,Duet
4838,MARAANA Adam,Male,Israel,Swimming,Mens 100m Backstroke
4839,MAIBUCA Karalo Hepoiteloto,Male,Tuvalu,Athletics,Mens 100m
4840,HASSAN Ali Idow,Male,Somalia,Athletics,Mens 800m
4841,MUREZ Andrea,Female,Israel,Swimming,Relay Only Athlete
4842,MUREZ Andrea,Female,Israel,Swimming,Mixed 4 x 100m Medley Relay
4843,BARZELAY Aviv,Female,Israel,Swimming,Womens 100m Backstroke
4844,BARZELAY Aviv,Female,Israel,Swimming,Womens 200m Backstroke
4845,SPITZ Ayla,Female,Israel,Swimming,Womens 4 x 200m Freestyle Relay
4846,SPITZ Ayla,Female,Israel,Swimming,Relay Only Athlete
4847,MANATOA Temalini,Female,Tuvalu,Athletics,Womens 100m
4848,SOLOVEYCHIK Bar,Male,Israel,Swimming,Mens 4 x 200m Freestyle Relay
4849,SOLOVEYCHIK Bar,Male,Israel,Swimming,Relay Only Athlete
4850,GORBENKO Anastasia,Female,Israel,Swimming,Womens 100m Breaststroke
4851,GORBENKO Anastasia,Female,Israel,Swimming,Womens 200m Backstroke
